Date,User,Channel,Activity_Type,Value,Unit
2026-02-16,User_Beta,Memes,Text,24,messages
2026-02-03,User_Beta,General,Text,45,messages
2026-01-13,User_Delta,Memes,Voice,27,minutes
2026-02-14,User_Alpha,General,Text,35,messages
2026-01-19,User_Beta,Announcements,Text,10,messages
2026-01-15,User_Gamma,Music,Text,47,messages
2026-01-09,User_Delta,Gaming,Text,44,messages
2026-01-24,User_Beta,Announcements,Text,28,messages
2026-01-19,User_Alpha,Gaming,Text,3,messages
2026-02-11,User_Alpha,Announcements,Text,10,messages
2026-01-27,User_Omega,General,Voice,110,minutes
2026-02-04,User_Omega,Music,Text,4,messages
2026-01-10,User_Gamma,Music,Text,37,messages
2026-01-02,User_Omega,Music,Voice,81,minutes
2026-02-22,User_Beta,Gaming,Voice,16,minutes
2026-02-24,User_Gamma,Gaming,Voice,38,minutes
2026-02-23,User_Gamma,Gaming,Voice,26,minutes
2026-02-24,User_Delta,Memes,Text,36,messages
2026-01-28,User_Delta,Announcements,Text,50,messages
2026-02-10,User_Gamma,Memes,Text,32,messages
2026-01-11,User_Delta,Gaming,Text,16,messages
2026-01-23,User_Delta,Music,Text,2,messages
2026-02-20,User_Gamma,Announcements,Voice,15,minutes
2026-01-06,User_Omega,Announcements,Voice,57,minutes
2026-01-15,User_Gamma,General,Text,3,messages
2026-01-18,User_Omega,Announcements,Text,8,messages
2026-02-23,User_Delta,General,Voice,69,minutes
2026-01-07,User_Alpha,Music,Text,32,messages
2026-01-23,User_Omega,Gaming,Voice,65,minutes
2026-01-13,User_Beta,Gaming,Voice,36,minutes
2026-02-18,User_Beta,Memes,Text,1,messages
2026-01-11,User_Beta,Announcements,Text,35,messages
2026-01-22,User_Omega,Gaming,Voice,19,minutes
2026-01-15,User_Beta,Music,Text,33,messages
2026-02-10,User_Alpha,Memes,Text,11,messages
2026-02-24,User_Delta,Music,Text,42,messages
2026-02-07,User_Beta,Gaming,Text,32,messages
2026-02-03,User_Omega,Music,Text,49,messages
2026-01-30,User_Omega,Music,Text,37,messages
2026-02-16,User_Gamma,General,Text,22,messages
2026-02-20,User_Gamma,General,Text,29,messages
2026-01-05,User_Beta,Memes,Text,8,messages
2026-01-25,User_Omega,Announcements,Text,6,messages
2026-02-19,User_Gamma,Memes,Text,24,messages
2026-01-19,User_Alpha,Memes,Text,15,messages
2026-02-07,User_Omega,General,Voice,35,minutes
2026-01-13,User_Beta,Music,Text,9,messages
2026-01-27,User_Gamma,Announcements,Voice,81,minutes
2026-01-09,User_Delta,General,Text,1,messages
2026-02-14,User_Delta,Gaming,Text,41,messages
2026-02-17,User_Alpha,Memes,Text,14,messages
2026-01-21,User_Delta,Announcements,Text,21,messages
2026-01-22,User_Alpha,Gaming,Voice,94,minutes
2026-01-01,User_Alpha,General,Voice,77,minutes
2026-02-13,User_Alpha,Announcements,Text,39,messages
2026-01-06,User_Delta,Music,Voice,84,minutes
2026-01-04,User_Alpha,Gaming,Text,27,messages
2026-02-15,User_Gamma,Announcements,Voice,90,minutes
2026-01-31,User_Delta,Gaming,Voice,66,minutes
2026-02-26,User_Beta,Memes,Text,14,messages
2026-02-08,User_Omega,Music,Text,44,messages
2026-01-11,User_Delta,General,Voice,114,minutes
2026-02-19,User_Beta,Memes,Text,26,messages
2026-01-02,User_Delta,Announcements,Text,48,messages
2026-01-03,User_Omega,Announcements,Text,31,messages
2026-01-29,User_Alpha,Memes,Voice,74,minutes
2026-02-20,User_Omega,Announcements,Text,50,messages
2026-01-10,User_Gamma,Memes,Voice,23,minutes
2026-02-28,User_Alpha,Music,Text,9,messages
2026-01-09,User_Omega,Memes,Text,9,messages
2026-02-03,User_Delta,Gaming,Text,17,messages
2026-02-11,User_Omega,General,Voice,51,minutes
2026-02-23,User_Gamma,Memes,Text,46,messages
2026-02-27,User_Beta,Memes,Text,9,messages
2026-01-14,User_Beta,Memes,Text,26,messages
2026-01-03,User_Delta,Memes,Voice,49,minutes
2026-02-16,User_Alpha,Gaming,Text,44,messages
2026-01-17,User_Beta,General,Text,3,messages
2026-02-19,User_Gamma,Music,Voice,31,minutes
2026-01-31,User_Beta,General,Text,19,messages
2026-01-07,User_Beta,Gaming,Text,29,messages
2026-01-01,User_Omega,Announcements,Voice,77,minutes
2026-01-11,User_Delta,Gaming,Voice,74,minutes
2026-01-09,User_Alpha,Gaming,Text,24,messages
2026-02-22,User_Gamma,Memes,Voice,24,minutes
2026-01-23,User_Beta,Music,Text,27,messages
2026-02-12,User_Delta,Gaming,Text,38,messages
2026-01-02,User_Delta,Music,Text,13,messages
2026-01-11,User_Omega,Announcements,Text,32,messages
2026-01-23,User_Gamma,Music,Text,46,messages
2026-02-23,User_Alpha,Music,Text,36,messages
2026-01-13,User_Delta,Music,Voice,52,minutes
2026-02-23,User_Beta,Gaming,Voice,104,minutes
2026-02-01,User_Beta,Music,Text,48,messages
2026-02-01,User_Beta,General,Voice,103,minutes
2026-02-22,User_Delta,Memes,Text,18,messages
2026-01-26,User_Beta,General,Voice,105,minutes
2026-01-12,User_Gamma,Gaming,Text,22,messages
2026-01-14,User_Alpha,Music,Voice,49,minutes
2026-02-17,User_Beta,General,Text,46,messages
2026-01-19,User_Delta,General,Text,42,messages
2026-02-27,User_Gamma,Announcements,Text,10,messages
2026-01-22,User_Beta,Music,Voice,87,minutes
2026-01-10,User_Gamma,Gaming,Text,27,messages
2026-03-01,User_Alpha,Music,Text,20,messages
2026-01-01,User_Beta,Memes,Voice,57,minutes
2026-01-08,User_Gamma,Music,Voice,86,minutes
2026-02-03,User_Alpha,Announcements,Text,26,messages
2026-02-26,User_Delta,Gaming,Text,17,messages
2026-03-01,User_Gamma,Memes,Voice,32,minutes
2026-01-06,User_Delta,General,Text,10,messages
2026-02-09,User_Alpha,Music,Voice,100,minutes
2026-02-22,User_Omega,Gaming,Text,4,messages
2026-01-08,User_Beta,Memes,Text,29,messages
2026-01-27,User_Delta,Music,Voice,108,minutes
2026-01-06,User_Delta,Memes,Text,18,messages
2026-01-07,User_Delta,General,Text,29,messages
2026-02-14,User_Omega,General,Text,37,messages
2026-01-07,User_Beta,Announcements,Text,28,messages
2026-02-02,User_Gamma,Gaming,Voice,24,minutes
2026-01-11,User_Delta,Music,Text,34,messages
2026-02-21,User_Gamma,Memes,Text,50,messages
2026-02-03,User_Alpha,Memes,Text,9,messages
2026-02-01,User_Gamma,Music,Text,11,messages
2026-01-16,User_Omega,Music,Text,46,messages
2026-02-10,User_Beta,General,Text,50,messages
2026-01-02,User_Beta,Memes,Text,23,messages
2026-01-20,User_Delta,Music,Text,8,messages
2026-02-06,User_Beta,General,Text,25,messages
2026-02-24,User_Alpha,Music,Text,50,messages
2026-02-18,User_Delta,Music,Text,38,messages
2026-02-10,User_Gamma,Music,Text,41,messages
2026-02-06,User_Gamma,General,Text,37,messages
2026-03-01,User_Beta,General,Text,25,messages
2026-01-29,User_Beta,General,Voice,83,minutes
2026-01-27,User_Gamma,Memes,Voice,64,minutes
2026-02-19,User_Omega,Announcements,Text,38,messages
2026-01-03,User_Gamma,Announcements,Text,16,messages
2026-01-27,User_Gamma,Memes,Voice,58,minutes
2026-02-07,User_Omega,Music,Text,34,messages
2026-01-11,User_Gamma,Announcements,Text,35,messages
2026-01-25,User_Gamma,Memes,Voice,119,minutes
2026-02-08,User_Beta,General,Text,13,messages
2026-01-21,User_Gamma,General,Voice,33,minutes
2026-02-11,User_Beta,Announcements,Text,32,messages
2026-01-23,User_Beta,Announcements,Text,25,messages
2026-01-21,User_Delta,Memes,Voice,120,minutes
2026-02-03,User_Alpha,Announcements,Voice,111,minutes
2026-02-03,User_Beta,Gaming,Text,32,messages
2026-01-30,User_Beta,Announcements,Text,25,messages
2026-01-27,User_Delta,Memes,Text,48,messages
